order_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,delivery_delay_days,delivery_completion_rate,is_on_time,is_complete_delivery
FMR34320102,25891102,432,2024-03-04,2024-03-05,432,1,100.0,No,Yes
FMR32420102,25891102,310,2024-03-02,2024-03-05,310,3,100.0,No,Yes
FMR32702601,25891102,478,2024-03-02,2024-03-02,454,0,94.98,Yes,No
FMR34220601,25891102,473,2024-03-04,2024-03-04,473,0,100.0,Yes,Yes
FMR34201202,25891102,372,2024-03-04,2024-03-04,353,0,94.89,Yes,No
FMR32102102,25891102,496,2024-03-02,2024-03-01,496,-1,100.0,Yes,Yes
FMR34122102,25891102,443,2024-03-04,2024-03-06,399,2,90.07,No,No
FMR33621102,25891102,480,2024-03-03,2024-03-06,480,3,100.0,No,Yes
FMR32622502,25891502,153,2024-03-02,2024-03-02,138,0,90.2,Yes,No
FMR33622502,25891502,132,2024-03-03,2024-03-03,132,0,100.0,Yes,Yes
FMR32420602,25891502,165,2024-03-02,2024-03-04,157,2,95.15,No,No
FMR32201502,25891502,160,2024-03-02,2024-03-02,160,0,100.0,Yes,Yes
FMR33220603,25891502,211,2024-03-03,2024-03-03,211,0,100.0,Yes,Yes
FMR33202502,25891502,141,2024-03-03,2024-03-03,134,0,95.04,Yes,No
FMR33520502,25891502,173,2024-03-03,2024-03-06,173,3,100.0,No,Yes
FMR34520503,25891502,143,2024-03-04,2024-03-07,129,3,90.21,No,No
FMR33503502,25891502,238,2024-03-03,2024-03-03,238,0,100.0,Yes,Yes
FMR34503502,25891502,231,2024-03-04,2024-03-03,231,-1,100.0,Yes,Yes
FMR33401603,25891502,140,2024-03-03,2024-03-03,133,0,95.0,Yes,No
FMR34401503,25891502,200,2024-03-04,2024-03-04,200,0,100.0,Yes,Yes
FMR34721502,25891502,123,2024-03-04,2024-03-05,98,1,79.67,No,No
FMR34702502,25891502,239,2024-03-04,2024-03-04,215,0,89.96,Yes,No
FMR33521502,25891502,167,2024-03-03,2024-03-05,167,2,100.0,No,Yes
FMR33520502,25891403,359,2024-03-03,2024-03-06,341,3,94.99,No,No
FMR33320501,25891403,239,2024-03-03,2024-03-03,239,0,100.0,Yes,Yes
FMR34422403,25891403,265,2024-03-04,2024-03-06,252,2,95.09,No,No
FMR32903403,25891403,244,2024-03-02,2024-03-02,220,0,90.16,Yes,No
FMR32420403,25891403,397,2024-03-02,2024-03-02,318,0,80.1,Yes,No
FMR33101403,25891403,315,2024-03-03,2024-03-03,283,0,89.84,Yes,No
FMR32202603,25891403,440,2024-03-02,2024-03-02,440,0,100.0,Yes,Yes
FMR34303602,25891403,427,2024-03-04,2024-03-04,406,0,95.08,Yes,No
FMR32121403,25891403,441,2024-03-02,2024-03-02,441,0,100.0,Yes,Yes
FMR34522403,25891403,320,2024-03-04,2024-03-05,320,1,100.0,No,Yes
FMR34103403,25891403,467,2024-03-04,2024-03-04,420,0,89.94,Yes,No
FMR32220503,25891403,465,2024-03-02,2024-03-02,372,0,80.0,Yes,No
FMR32622503,25891503,208,2024-03-02,2024-03-01,198,-1,95.19,Yes,No
FMR34622602,25891503,241,2024-03-04,2024-03-04,241,0,100.0,Yes,Yes
FMR32220503,25891503,115,2024-03-02,2024-03-02,103,0,89.57,Yes,No
FMR33220603,25891503,239,2024-03-03,2024-03-03,239,0,100.0,Yes,Yes
FMR34321602,25891503,246,2024-03-04,2024-03-04,246,0,100.0,Yes,Yes
FMR32221603,25891503,158,2024-03-02,2024-03-02,158,0,100.0,Yes,Yes
FMR33221503,25891503,106,2024-03-03,2024-03-03,101,0,95.28,Yes,No
FMR32103503,25891503,126,2024-03-02,2024-03-02,120,0,95.24,Yes,No
FMR33401603,25891503,161,2024-03-03,2024-03-03,145,0,90.06,Yes,No
FMR34401503,25891503,192,2024-03-04,2024-03-04,192,0,100.0,Yes,Yes
FMR34721503,25891503,144,2024-03-04,2024-03-04,137,0,95.14,Yes,No
FMR33320503,25891503,140,2024-03-03,2024-03-06,140,3,100.0,No,Yes
FMR34520503,25891503,233,2024-03-04,2024-03-07,221,3,94.85,No,No
FMR32101601,25891503,183,2024-03-02,2024-03-02,183,0,100.0,Yes,Yes
FMR32422503,25891503,138,2024-03-02,2024-03-03,110,1,79.71,No,No
FMR34603302,25891103,378,2024-03-04,2024-03-04,378,0,100.0,Yes,Yes
FMR34702602,25891103,480,2024-03-04,2024-03-03,432,-1,90.0,Yes,No
FMR32601103,25891103,310,2024-03-02,2024-03-02,294,0,94.84,Yes,No
FMR34601402,25891103,388,2024-03-04,2024-03-04,310,0,79.9,Yes,No
FMR33303501,25891103,335,2024-03-03,2024-03-03,335,0,100.0,Yes,Yes
FMR32621103,25891103,431,2024-03-02,2024-03-02,431,0,100.0,Yes,Yes
FMR34621103,25891103,357,2024-03-04,2024-03-04,339,0,94.96,Yes,No
FMR32501601,25891103,318,2024-03-02,2024-03-02,318,0,100.0,Yes,Yes
FMR33501401,25891103,400,2024-03-03,2024-03-03,400,0,100.0,Yes,Yes
FMR34501203,25891103,327,2024-03-04,2024-03-04,327,0,100.0,Yes,Yes
FMR34402202,25891103,340,2024-03-04,2024-03-04,272,0,80.0,Yes,No
FMR32221603,25891103,430,2024-03-02,2024-03-02,430,0,100.0,Yes,Yes
FMR33522103,25891103,384,2024-03-03,2024-03-04,384,1,100.0,No,Yes
FMR33503502,25891103,325,2024-03-03,2024-03-03,309,0,95.08,Yes,No
FMR33122301,25891103,403,2024-03-03,2024-03-05,403,2,100.0,No,Yes
FMR34122103,25891103,458,2024-03-04,2024-03-03,458,-1,100.0,Yes,Yes
FMR32401103,25891103,476,2024-03-02,2024-03-02,476,0,100.0,Yes,Yes
FMR34301103,25891103,351,2024-03-04,2024-03-06,351,2,100.0,No,Yes
FMR34902103,25891103,456,2024-03-04,2024-03-06,410,2,89.91,No,No
FMR32202603,25891103,389,2024-03-02,2024-03-02,370,0,95.12,Yes,No
FMR34721103,25891103,468,2024-03-04,2024-03-06,468,2,100.0,No,Yes
FMR33420203,25891103,357,2024-03-03,2024-03-06,357,3,100.0,No,Yes
FMR34420402,25891103,325,2024-03-04,2024-03-05,325,1,100.0,No,Yes
FMR32321103,25891103,478,2024-03-02,2024-03-03,478,1,100.0,No,Yes
FMR33321602,25891103,465,2024-03-03,2024-03-03,419,0,90.11,Yes,No
FMR32422401,25891103,317,2024-03-02,2024-03-04,317,2,100.0,No,Yes
FMR34522601,25891601,181,2024-03-04,2024-03-07,163,3,90.06,No,No
FMR32202603,25891601,125,2024-03-02,2024-03-02,119,0,95.2,Yes,No
FMR32702601,25891601,93,2024-03-02,2024-03-02,74,0,79.57,Yes,No
FMR33520601,25891601,182,2024-03-03,2024-03-05,146,2,80.22,No,No
FMR32902601,25891601,93,2024-03-02,2024-03-03,88,1,94.62,No,No
FMR33103602,25891601,188,2024-03-03,2024-03-03,150,0,79.79,Yes,No
FMR33201602,25891601,180,2024-03-03,2024-03-03,171,0,95.0,Yes,No
FMR34622602,25891601,96,2024-03-04,2024-03-04,91,0,94.79,Yes,No
FMR32101601,25891601,124,2024-03-02,2024-03-02,124,0,100.0,Yes,Yes
FMR34220601,25891601,78,2024-03-04,2024-03-04,78,0,100.0,Yes,Yes
FMR34122601,25891601,68,2024-03-04,2024-03-07,61,3,89.71,No,No
FMR33321601,25891601,157,2024-03-03,2024-03-05,157,2,100.0,No,Yes
FMR33903601,25891601,93,2024-03-03,2024-03-03,84,0,90.32,Yes,No
FMR34621601,25891601,170,2024-03-04,2024-03-07,170,3,100.0,No,Yes
FMR32421601,25891601,108,2024-03-02,2024-03-02,103,0,95.37,Yes,No
FMR34421601,25891601,75,2024-03-04,2024-03-05,75,1,100.0,No,Yes
FMR33102601,25891601,180,2024-03-03,2024-03-03,180,0,100.0,Yes,Yes
FMR33401603,25891203,429,2024-03-03,2024-03-03,429,0,100.0,Yes,Yes
FMR32501601,25891601,139,2024-03-02,2024-03-02,139,0,100.0,Yes,Yes
FMR32603203,25891203,460,2024-03-02,2024-03-03,460,1,100.0,No,Yes
FMR34420402,25891402,353,2024-03-04,2024-03-05,353,1,100.0,No,Yes
FMR34401402,25891402,468,2024-03-04,2024-03-06,468,2,100.0,No,Yes
FMR34720402,25891402,472,2024-03-04,2024-03-05,448,1,94.92,No,No
FMR34721503,25891402,436,2024-03-04,2024-03-04,414,0,94.95,Yes,No
FMR32520603,25891402,287,2024-03-02,2024-03-02,258,0,89.9,Yes,No
FMR33503502,25891402,450,2024-03-03,2024-03-03,450,0,100.0,Yes,Yes
FMR32203402,25891402,488,2024-03-02,2024-03-02,488,0,100.0,Yes,Yes
FMR32902402,25891402,405,2024-03-02,2024-03-02,405,0,100.0,Yes,Yes
FMR33321602,25891402,283,2024-03-03,2024-03-03,283,0,100.0,Yes,Yes
FMR33122402,25891402,460,2024-03-03,2024-03-06,437,3,95.0,No,No
FMR34122402,25891402,256,2024-03-04,2024-03-04,205,0,80.08,Yes,No
FMR34621601,25891402,220,2024-03-04,2024-03-07,220,3,100.0,No,Yes
FMR32221402,25891402,384,2024-03-02,2024-03-03,384,1,100.0,No,Yes
FMR33221402,25891402,342,2024-03-03,2024-03-04,342,1,100.0,No,Yes
FMR32622402,25891402,309,2024-03-02,2024-03-03,247,1,79.94,No,No
FMR34622602,25891402,462,2024-03-04,2024-03-04,439,0,95.02,Yes,No
FMR32202402,25891402,442,2024-03-02,2024-03-03,442,1,100.0,No,Yes
FMR34301602,25891201,308,2024-03-04,2024-03-04,308,0,100.0,Yes,Yes
FMR33521201,25891201,487,2024-03-03,2024-03-04,463,1,95.07,No,No
FMR33401603,25891201,461,2024-03-03,2024-03-03,461,0,100.0,Yes,Yes
FMR33320501,25891201,354,2024-03-03,2024-03-03,354,0,100.0,Yes,Yes
FMR32321201,25891201,374,2024-03-02,2024-03-02,374,0,100.0,Yes,Yes
FMR34102602,25891201,440,2024-03-04,2024-03-04,440,0,100.0,Yes,Yes
FMR32103503,25891201,112,2024-03-02,2024-03-02,101,0,90.18,Yes,No
FMR32501201,25891201,273,2024-03-02,2024-03-01,273,-1,100.0,Yes,Yes
FMR34220601,25891201,378,2024-03-04,2024-03-04,378,0,100.0,Yes,Yes
FMR34702502,25891201,156,2024-03-04,2024-03-04,156,0,100.0,Yes,Yes
FMR34201201,25891201,291,2024-03-04,2024-03-05,233,1,80.07,No,No
FMR32622502,25891201,274,2024-03-02,2024-03-02,247,0,90.15,Yes,No
FMR34101201,25891201,489,2024-03-04,2024-03-05,489,1,100.0,No,Yes
FMR34520602,25891501,204,2024-03-04,2024-03-06,184,2,90.2,No,No
FMR33203603,25891501,104,2024-03-03,2024-03-03,104,0,100.0,Yes,Yes
FMR34420501,25891501,210,2024-03-04,2024-03-06,210,2,100.0,No,Yes
FMR33403501,25891501,241,2024-03-03,2024-03-03,229,0,95.02,Yes,No
FMR34121501,25891501,159,2024-03-04,2024-03-03,127,-1,79.87,Yes,No
FMR34903603,25891501,136,2024-03-04,2024-03-04,136,0,100.0,Yes,Yes
FMR33320501,25891501,249,2024-03-03,2024-03-03,249,0,100.0,Yes,Yes
FMR32221603,25891501,140,2024-03-02,2024-03-02,140,0,100.0,Yes,Yes
FMR32101601,25891501,241,2024-03-02,2024-03-02,241,0,100.0,Yes,Yes
FMR33303501,25891501,105,2024-03-03,2024-03-03,105,0,100.0,Yes,Yes
FMR32102602,25891501,114,2024-03-02,2024-03-02,91,0,79.82,Yes,No
FMR32402602,25891501,223,2024-03-02,2024-03-02,223,0,100.0,Yes,Yes
FMR33720501,25891501,182,2024-03-03,2024-03-02,182,-1,100.0,Yes,Yes
FMR32301603,25891501,238,2024-03-02,2024-03-02,238,0,100.0,Yes,Yes
FMR34301602,25891602,92,2024-03-04,2024-03-04,83,0,90.22,Yes,No
FMR34303602,25891602,98,2024-03-04,2024-03-04,98,0,100.0,Yes,Yes
FMR34702602,25891602,155,2024-03-04,2024-03-03,155,-1,100.0,Yes,Yes
FMR32102602,25891602,63,2024-03-02,2024-03-02,63,0,100.0,Yes,Yes
FMR34102602,25891602,154,2024-03-04,2024-03-04,154,0,100.0,Yes,Yes
FMR34703602,25891602,163,2024-03-04,2024-03-04,163,0,100.0,Yes,Yes
FMR32420602,25891602,76,2024-03-02,2024-03-04,76,2,100.0,No,Yes
FMR33321602,25891602,78,2024-03-03,2024-03-03,74,0,94.87,Yes,No
FMR34321602,25891602,60,2024-03-04,2024-03-04,60,0,100.0,Yes,Yes
FMR32402602,25891602,172,2024-03-02,2024-03-02,163,0,94.77,Yes,No
FMR33203603,25891602,184,2024-03-03,2024-03-03,184,0,100.0,Yes,Yes
FMR32103602,25891602,86,2024-03-02,2024-03-01,77,-1,89.53,Yes,No
FMR33103602,25891602,172,2024-03-03,2024-03-03,163,0,94.77,Yes,No
FMR33201602,25891602,52,2024-03-03,2024-03-03,52,0,100.0,Yes,Yes
FMR34320602,25891602,190,2024-03-04,2024-03-04,190,0,100.0,Yes,Yes
FMR34520602,25891602,164,2024-03-04,2024-03-06,131,2,79.88,No,No
FMR34622602,25891602,54,2024-03-04,2024-03-04,54,0,100.0,Yes,Yes
FMR32220602,25891602,77,2024-03-02,2024-03-01,77,-1,100.0,Yes,Yes
FMR33220603,25891602,65,2024-03-03,2024-03-03,65,0,100.0,Yes,Yes
FMR33721603,25891602,148,2024-03-03,2024-03-03,148,0,100.0,Yes,Yes
FMR33501401,25891101,484,2024-03-03,2024-03-03,484,0,100.0,Yes,Yes
FMR32101601,25891101,474,2024-03-02,2024-03-02,474,0,100.0,Yes,Yes
FMR33101403,25891101,349,2024-03-03,2024-03-03,349,0,100.0,Yes,Yes
FMR32703401,25891101,492,2024-03-02,2024-03-02,492,0,100.0,Yes,Yes
FMR33321602,25891101,345,2024-03-03,2024-03-03,345,0,100.0,Yes,Yes
FMR32203101,25891101,409,2024-03-02,2024-03-04,389,2,95.11,No,No
FMR33203603,25891101,368,2024-03-03,2024-03-03,294,0,79.89,Yes,No
FMR32903403,25891101,343,2024-03-02,2024-03-02,326,0,95.04,Yes,No
FMR34122303,25891101,410,2024-03-04,2024-03-05,390,1,95.12,No,No
FMR33202502,25891101,391,2024-03-03,2024-03-03,391,0,100.0,Yes,Yes
FMR34202301,25891101,431,2024-03-04,2024-03-04,431,0,100.0,Yes,Yes
FMR33403501,25891101,379,2024-03-03,2024-03-03,379,0,100.0,Yes,Yes
FMR34401102,25891101,454,2024-03-04,2024-03-03,454,-1,100.0,Yes,Yes
FMR33503502,25891101,362,2024-03-03,2024-03-03,362,0,100.0,Yes,Yes
FMR33420101,25891101,306,2024-03-03,2024-03-04,306,1,100.0,No,Yes
FMR34420501,25891101,494,2024-03-04,2024-03-06,494,2,100.0,No,Yes
FMR34622101,25891101,423,2024-03-04,2024-03-03,402,-1,95.04,Yes,No
FMR34520301,25891101,428,2024-03-04,2024-03-04,385,0,89.95,Yes,No
FMR34422101,25891101,444,2024-03-04,2024-03-05,444,1,100.0,No,Yes
FMR34603401,25891401,313,2024-03-04,2024-03-05,313,1,100.0,No,Yes
FMR33501401,25891401,288,2024-03-03,2024-03-03,259,0,89.93,Yes,No
FMR32503401,25891401,449,2024-03-02,2024-03-02,449,0,100.0,Yes,Yes
FMR33202502,25891401,215,2024-03-03,2024-03-03,215,0,100.0,Yes,Yes
FMR34702502,25891401,355,2024-03-04,2024-03-04,337,0,94.93,Yes,No
FMR32703401,25891401,234,2024-03-02,2024-03-02,234,0,100.0,Yes,Yes
FMR32422401,25891401,342,2024-03-02,2024-03-04,342,2,100.0,No,Yes
FMR32122401,25891401,240,2024-03-02,2024-03-04,228,2,95.0,No,No
FMR33201602,25891401,480,2024-03-03,2024-03-03,456,0,95.0,Yes,No
FMR33103401,25891401,306,2024-03-03,2024-03-02,291,-1,95.1,Yes,No
FMR34103403,25891401,399,2024-03-04,2024-03-04,359,0,89.97,Yes,No
FMR32403401,25891401,473,2024-03-02,2024-03-02,473,0,100.0,Yes,Yes
FMR32520603,25891603,67,2024-03-02,2024-03-02,64,0,95.52,Yes,No
FMR33220603,25891603,51,2024-03-03,2024-03-03,46,0,90.2,Yes,No
FMR33603603,25891603,183,2024-03-03,2024-03-05,183,2,100.0,No,Yes
FMR32221603,25891603,100,2024-03-02,2024-03-02,80,0,80.0,Yes,No
FMR33401603,25891603,127,2024-03-03,2024-03-03,127,0,100.0,Yes,Yes
FMR33420603,25891603,129,2024-03-03,2024-03-03,129,0,100.0,Yes,Yes
FMR32121603,25891603,200,2024-03-02,2024-03-04,180,2,90.0,No,No
FMR32421603,25891603,172,2024-03-02,2024-03-05,155,3,90.12,No,No
FMR32903603,25891603,128,2024-03-02,2024-03-03,115,1,89.84,No,No
FMR34903603,25891603,148,2024-03-04,2024-03-04,133,0,89.86,Yes,No
FMR33703603,25891603,165,2024-03-03,2024-03-03,165,0,100.0,Yes,Yes
FMR32303603,25891603,169,2024-03-02,2024-03-02,169,0,100.0,Yes,Yes
FMR32301603,25891603,134,2024-03-02,2024-03-02,121,0,90.3,Yes,No
FMR33203603,25891603,122,2024-03-03,2024-03-03,122,0,100.0,Yes,Yes
FMR32202603,25891603,186,2024-03-02,2024-03-02,186,0,100.0,Yes,Yes
FMR32721603,25891603,140,2024-03-02,2024-03-02,126,0,90.0,Yes,No
FMR33721603,25891603,195,2024-03-03,2024-03-03,195,0,100.0,Yes,Yes
FMR33621603,25891603,69,2024-03-03,2024-03-03,69,0,100.0,Yes,Yes
FMR32102202,25891202,106,2024-03-02,2024-03-03,106,1,100.0,No,Yes
FMR33102601,25891202,419,2024-03-03,2024-03-03,419,0,100.0,Yes,Yes
FMR33402303,25891202,167,2024-03-03,2024-03-03,167,0,100.0,Yes,Yes
FMR34402202,25891202,457,2024-03-04,2024-03-04,457,0,100.0,Yes,Yes
FMR33622502,25891202,294,2024-03-03,2024-03-03,294,0,100.0,Yes,Yes
FMR34902202,25891202,311,2024-03-04,2024-03-04,311,0,100.0,Yes,Yes
FMR32320202,25891202,211,2024-03-02,2024-03-03,211,1,100.0,No,Yes
FMR33320202,25891202,209,2024-03-03,2024-03-05,188,2,89.95,No,No
FMR32403401,25891202,472,2024-03-02,2024-03-02,472,0,100.0,Yes,Yes
FMR34703602,25891202,185,2024-03-04,2024-03-04,167,0,90.27,Yes,No
FMR34303602,25891202,160,2024-03-04,2024-03-04,144,0,90.0,Yes,No
FMR32721603,25891202,178,2024-03-02,2024-03-02,169,0,94.94,Yes,No
FMR33421203,25891202,332,2024-03-03,2024-03-06,332,3,100.0,No,Yes
FMR34421601,25891202,132,2024-03-04,2024-03-05,125,1,94.7,No,No
FMR33101202,25891202,150,2024-03-03,2024-03-04,150,1,100.0,No,Yes
FMR34401503,25891202,173,2024-03-04,2024-03-04,173,0,100.0,Yes,Yes
FMR33503502,25891202,214,2024-03-03,2024-03-03,214,0,100.0,Yes,Yes
FMR33601202,25891202,411,2024-03-03,2024-03-04,390,1,94.89,No,No
FMR34201202,25891202,175,2024-03-04,2024-03-04,175,0,100.0,Yes,Yes
FMR32521202,25891202,479,2024-03-02,2024-03-05,479,3,100.0,No,Yes
FMR33521202,25891202,347,2024-03-03,2024-03-03,347,0,100.0,Yes,Yes
FMR34520602,25891202,200,2024-03-04,2024-03-06,200,2,100.0,No,Yes
FMR33720202,25891202,270,2024-03-03,2024-03-03,270,0,100.0,Yes,Yes
FMR32202603,25891202,342,2024-03-02,2024-03-02,274,0,80.12,Yes,No
FMR33202502,25891202,130,2024-03-03,2024-03-03,130,0,100.0,Yes,Yes
FMR33522202,25891202,280,2024-03-03,2024-03-03,252,0,90.0,Yes,No
FMR32203402,25891303,64,2024-03-02,2024-03-02,64,0,100.0,Yes,Yes
FMR33103602,25891303,40,2024-03-03,2024-03-03,32,0,80.0,Yes,No
FMR32721603,25891303,69,2024-03-02,2024-03-02,69,0,100.0,Yes,Yes
FMR32522303,25891303,63,2024-03-02,2024-03-01,50,-1,79.37,Yes,No
FMR32601303,25891303,95,2024-03-02,2024-03-03,95,1,100.0,No,Yes
FMR33601303,25891303,69,2024-03-03,2024-03-03,66,0,95.65,Yes,No
FMR33703303,25891303,76,2024-03-03,2024-03-02,76,-1,100.0,Yes,Yes
FMR34720303,25891303,27,2024-03-04,2024-03-06,27,2,100.0,No,Yes
FMR34420303,25891303,63,2024-03-04,2024-03-04,57,0,90.48,Yes,No
FMR32622502,25891303,51,2024-03-02,2024-03-02,51,0,100.0,Yes,Yes
FMR34622602,25891303,84,2024-03-04,2024-03-04,84,0,100.0,Yes,Yes
FMR34122303,25891303,37,2024-03-04,2024-03-05,33,1,89.19,No,No
FMR32501601,25891303,51,2024-03-02,2024-03-02,41,0,80.39,Yes,No
FMR33501401,25891303,57,2024-03-03,2024-03-03,57,0,100.0,Yes,Yes
FMR32702601,25891303,29,2024-03-02,2024-03-02,29,0,100.0,Yes,Yes
FMR32221303,25891303,42,2024-03-02,2024-03-01,42,-1,100.0,Yes,Yes
FMR32202402,25891303,40,2024-03-02,2024-03-03,40,1,100.0,No,Yes
FMR33403501,25891303,89,2024-03-03,2024-03-03,89,0,100.0,Yes,Yes
FMR34121303,25891303,49,2024-03-04,2024-03-07,49,3,100.0,No,Yes
FMR32101601,25891303,58,2024-03-02,2024-03-02,58,0,100.0,Yes,Yes
FMR32402303,25891303,68,2024-03-02,2024-03-03,54,1,79.41,No,No
FMR33402303,25891303,63,2024-03-03,2024-03-03,63,0,100.0,Yes,Yes
FMR32903403,25891303,75,2024-03-02,2024-03-02,75,0,100.0,Yes,Yes
FMR33203403,25891402,320,2024-03-03,2024-03-03,320,0,100.0,Yes,Yes
FMR34603203,25891203,477,2024-03-04,2024-03-03,477,-1,100.0,Yes,Yes
FMR33422203,25891203,452,2024-03-03,2024-03-03,452,0,100.0,Yes,Yes
FMR35422503,25891203,148,2024-03-05,2024-03-08,148,3,100.0,No,Yes
FMR34101203,25891203,500,2024-03-04,2024-03-04,500,0,100.0,Yes,Yes
FMR35401203,25891203,400,2024-03-05,2024-03-05,380,0,95.0,Yes,No
FMR34320402,25891203,184,2024-03-04,2024-03-04,175,0,95.11,Yes,No
