ORDER_ID,on.time,in_full,OTIF
FMR34220601,1.0,1.0,1.0 units
FMR32220602,1.0,1.0,1.0
FMR33621603,1.0,1.0,1.0
FMR32621103,1.0,1.0,1.0
FMR34101301,1.0,1.0,1.0
FMR32101601,1.0,1.0,
FMR32321201,1.0,1.0,-1.0
FMR32203402,1.0,1.0,1.0
FMR34203601,1.0,,1.0
FMR32102102,1.0,1.0 Units,1.0
FMR33102601,1.0,1.0,1.0
FMR32201502,1.0,1.0,1.0
FMR33420603,1.0,1.0,-1.0
FMR32121403,1.0,1.0,1.0
FMR33121302,1.0,1.0,1.0
FMR32422301,1.0,-1.0,1.0
FMR33521202,1.0,1.0,1.0 units
FMR34122103,1.0,Nan Units,1.0
FMR32403401,1.0,1.0,1.0
FMR34202301,1.0,1.0,1.0
FMR33303501,1.0,1.0,1.0
FMR32303603,1.0,1.0,1.0
FMR33703603,1.0,1.0,1.0
FMR33703303,1.0,1.0,1.0
FMR32703401,1.0 units,,1.0 units
FMR34603302,1.0,1.0,1.0
FMR33103301,1.0,0.0,0.0
FMR35103601,1.0,0.0,0.0
FMR33903503,,0.0,0.0
FMR34903403,1.0,0.0,0.0
FMR35903601,1.0,0.0,0.0
FMR35903202,1.0,0.0,0.0
FMR33702602,1.0,0.0,
FMR34702601,1.0 units,0.0,0.0
FMR33601203,1.0,-1.0,0.0
FMR34601501,1.0,,0.0
FMR35601601,1.0,0.0,0.0
FMR33601601,1.0,-1.0,0.0
FMR33301502,,0.0,0.0
FMR34301101,1.0,0.0,0.0
FMR33101501,1.0,0.0,0.0
FMR33102403,1.0,0.0,-1.0
FMR34102403,1.0,0.0,0.0 units
FMR35902601,1.0,0.0,0.0
FMR33902503,1.0,0.0,0.0
FMR34902602,1.0,0.0,0.0
FMR35201303,1.0,0.0,0.0
FMR34202502,1.0,0.0,-1.0 units
FMR33202403,1.0 units,0.0,0.0
FMR35321603,1.0,0.0,0.0
FMR33321303,1.0,0.0,0.0
FMR33402602,1.0,0.0,0.0
FMR34720601,1.0,0.0,0.0
FMR35720302,1.0 units,0.0,
FMR35221203,1.0,0.0,0.0
FMR33703601,1.0,0.0,0.0
FMR35401203,1.0,0.0,0.0
FMR33401301,1.0,0.0,0.0
FMR35622603,,0.0,0.0
FMR34320402,1.0,-1.0,0.0
FMR35320402,1.0,0.0,0.0
FMR35320601,1.0,0.0 units,0.0
FMR34721601,1.0,0.0,0.0
FMR33721102,1.0,0.0,0.0
FMR33122503,1.0 units,0.0,0.0
FMR35122602,1.0,0.0,0.0 units
FMR33220402,1.0,0.0,0.0
FMR35220201,1.0,0.0,0.0
FMR34220501,1.0,0.0,0.0
FMR33220101,1.0,0.0,0.0
FMR33520203,1.0,0.0,0.0
FMR35520502,1.0,-1.0,0.0
FMR33520303,1.0,0.0,0.0
FMR33501602,1.0 units,0.0,0.0
FMR34501403,1.0 units,,0.0
FMR35501601,1.0,0.0,0.0
FMR33503603,,0.0,0.0
FMR35503502,1.0,0.0,0.0
FMR34503602,1.0,0.0,0.0
FMR33403103,1.0,0.0 units,0.0
FMR35303601,1.0 units,0.0,0.0
FMR33303403,1.0,0.0,0.0
FMR34303303,1.0,0.0,0.0
FMR35121602,1.0,0.0,
FMR35422501,1.0,0.0,0.0
FMR33203502,0.0,0.0,0.0
FMR34101302,0.0,,0.0
FMR35603402,0.0,0.0,0.0
FMR33301202,0.0,0.0,0.0
FMR34503301,0.0 UNITS,0.0,0.0
FMR35903201,0.0,0.0,0.0
FMR33903303,0.0,0.0,0.0
FMR34702403,0.0,0.0,0.0 units
FMR34521301,0.0,0.0,0.0
FMR34521603,0.0,-1.0,0.0
FMR35522602,0.0,0.0,0.0
FMR33422103,0.0,0.0,0.0
FMR34121603,0.0,0.0,-1.0
FMR35420102,0.0,0.0,0.0
FMR33420302,0.0,0.0,0.0
FMR33420602,0.0,0.0,0.0
FMR33520402,0.0,0.0,0.0 units
FMR34421402,0.0,0.0,0.0
FMR35421602,0.0,0.0,0.0
FMR34421603,0.0,0.0,0.0 units
FMR35122502,0.0,0.0,0.0
FMR34122403,0.0,0.0,0.0
FMR34122202,0.0,-1.0 units,0.0
FMR35122202,,0.0 units,0.0
FMR35422503,0.0,1.0 units,0.0
FMR34422503,,1.0,-1.0 units
FMR33422302,0.0,1.0 Units,0.0
FMR35422303,0.0 units,1.0,0.0
FMR34422202,0.0,1.0,
FMR35301503,0.0,1.0,0.0
FMR33301602,0.0,1.0,0.0
FMR34301501,0.0,1.0,0.0
FMR33102402,,1.0,0.0
FMR35102301,0.0,1.0,0.0
FMR34102601,0.0,1.0,
FMR35122302,0.0,1.0,0.0
FMR35303503,0.0,1.0,0.0
FMR35321301,0.0,1.0,0.0
FMR35321303,0.0,1.0,0.0
FMR34321101,0.0 units,1.0,0.0
FMR33520201,0.0,1.0,0.0
FMR34520201,0.0,1.0,0.0
FMR33503203,0.0,1.0,0.0
FMR34202202,0.0 units,1.0,-1.0
FMR34621102,0.0,1.0,0.0
FMR33621402,0.0,1.0,0.0
FMR33621303,-1.0,1.0,0.0
FMR34201601,0.0,1.0 units,0.0
FMR35401201,0.0,1.0,0.0
FMR34522401,0.0,1.0,0.0
FMR34522303,0.0,1.0,0.0
FMR34522603,0.0,1.0,0.0
FMR33522603,0.0,1.0,0.0
FMR35521303,,1.0,0.0
FMR33521501,0.0,1.0,0.0
FMR33521603,0.0,1.0,0.0
FMR34521103,0.0,1.0,0.0
FMR33121403,0.0,1.0,0.0
FMR34121401,0.0,1.0,0.0
FMR33121101,0.0,1.0,0.0 units
FMR35121202,0.0,1.0,0.0
FMR34420403,0.0,1.0,0.0
FMR34420302,0.0,1.0,0.0
FMR35402501,1.0,1.0,1.0
FMR34402603,1.0 units,1.0,1.0
FMR34402503,1.0,1.0,1.0
FMR35402603,1.0,1.0,1.0
FMR33622402,1.0,1.0,1.0 units
FMR34221203,1.0,1.0,1.0 UNITS
FMR33221401,,1.0,1.0
FMR34221601,1.0,1.0,1.0
FMR34721301,1.0,1.0,1.0
FMR35721103,1.0 units,1.0,1.0
FMR33320502,1.0,1.0,1.0
FMR35501401,1.0,1.0,1.0 units
FMR34401603,1.0 units,1.0 units,1.0
FMR33720403,,-1.0,1.0
FMR35220102,1.0,1.0 units,1.0 units
FMR35621302,1.0,1.0 units,1.0
FMR35621202,1.0,1.0,1.0
FMR34101203,1.0,1.0,1.0
FMR35101502,1.0,1.0,1.0
FMR34321502,1.0,1.0,1.0
FMR33321503,1.0,1.0,1.0
FMR35321101,1.0,1.0,1.0
FMR33203403,1.0,1.0,1.0
FMR34203602,1.0,1.0,1.0
FMR35203601,1.0,1.0,1.0
FMR35102401,1.0 units,1.0,1.0
FMR35301401,1.0,1.0,1.0
FMR34201502,1.0,1.0,1.0
FMR33201403,1.0,1.0,1.0
FMR35420402,1.0 units,1.0,1.0
FMR35121203,1.0 units,1.0,1.0
FMR34121502,1.0 UNITS,1.0,1.0
FMR33522303,1.0 units,1.0,1.0
FMR34522101,1.0,nan units,1.0
FMR35522103,1.0,1.0,1.0
FMR33422203,1.0 units,1.0 UNITS,1.0 units
FMR34521403,1.0,1.0,1.0
FMR33521601,1.0,1.0,1.0
FMR34521401,1.0,1.0,1.0
FMR35702603,1.0,1.0,1.0
FMR35702202,1.0,1.0,1.0
FMR33103603,1.0,1.0,1.0
FMR34403602,1.0,1.0,1.0
FMR33403601,1.0,1.0,1.0
FMR34202203,1.0,1.0,1.0
FMR35202603,1.0 units,1.0,1.0
FMR35303101,1.0,1.0,1.0
FMR35703502,1.0,1.0,1.0
FMR34703601,1.0 units,1.0,1.0
FMR34603203,1.0,1.0,1.0
FMR33603502,1.0,1.0,1.0
FMR34603601,1.0,1.0 units,1.0 Units
FMR35603601,1.0,1.0,1.0
FMR35603302,1.0,1.0,1.0
FMR34103602,1.0,0.0,0.0 units
FMR35103502,1.0,0.0,0.0
FMR36103201,1.0,,0.0
FMR35903203,1.0,0.0,0.0
FMR34903401,1.0,0.0,0.0
FMR34903502,1.0,0.0,0.0
FMR36903501,1.0,0.0,0.0 units
FMR34702402,1.0,0.0,0.0
FMR35702503,1.0,0.0,0.0
FMR34601603,1.0,0.0,0.0
FMR35601602,1.0,0.0,0.0
FMR34301401,1.0,0.0,0.0
FMR35301103,1.0,0.0,0.0
FMR36203203,1.0,0.0,0.0
FMR35203502,1.0,0.0,0.0
FMR35621403,1.0,0.0,0.0
FMR36621202,1.0,0.0,-1.0
FMR34621603,1.0,0.0,0.0
FMR34101603,,0.0,0.0
FMR36101401,1.0,0.0,0.0 units
FMR34102503,1.0 units,0.0,0.0 units
FMR36102401,1.0,0.0,0.0 units
FMR35201601,1.0,0.0,0.0
FMR34201603,1.0,0.0,0.0
FMR35202601,1.0,0.0 units,0.0
FMR35321502,1.0,0.0,
FMR34402501,1.0,0.0,0.0
FMR35402602,1.0,-1.0,0.0
FMR35720603,1.0,0.0,0.0
FMR34720603,1.0,0.0,0.0
FMR35221403,1.0,0.0,0.0 units
FMR34221503,1.0,0.0,0.0 units
FMR35703102,-1.0,0.0 units,0.0
FMR36703601,1.0,0.0,0.0
FMR34622502,1.0,0.0,0.0
FMR34721603,1.0 units,-1.0,0.0
FMR35220303,1.0,0.0,0.0
FMR36520502,1.0,0.0,0.0
FMR36520602,1.0,0.0 units,0.0
FMR34501601,1.0,0.0,0.0
FMR36503402,1.0 units,0.0,0.0
FMR35603603,1.0,0.0,0.0
FMR36603501,1.0,0.0,0.0
FMR34603603,1.0 units,0.0,0.0
FMR34403502,1.0,0.0,0.0
FMR35403302,1.0,0.0,0.0
FMR36421601,1.0,0.0,0.0
FMR35303203,1.0 units,0.0,
FMR36303602,1.0,0.0,0.0
FMR36521603,-1.0,0.0,0.0
FMR35121302,1.0,0.0,0.0
FMR34422602,1.0,0.0,0.0 UNITS
FMR34420201,1.0,0.0,0.0
FMR35420302,1.0,0.0,0.0
FMR36202203,0.0,0.0,0.0 units
FMR36320402,0.0,0.0 units,0.0 units
FMR36902601,0.0,0.0,
FMR36721101,0.0,0.0 units,0.0
FMR34102401,0.0,0.0,0.0 units
FMR34221603,0.0,0.0,0.0
FMR36501103,0.0,0.0,0.0
FMR34503103,0.0,0.0,0.0
FMR34103302,0.0,0.0 units,0.0
FMR35601102,0.0 units,0.0,0.0
FMR34903101,0.0,0.0,0.0
FMR35903401,0.0,0.0,0.0
FMR35702601,0.0,0.0,0.0
FMR35521602,0.0,0.0 units,0.0
FMR34521502,0.0,0.0,0.0
FMR36521302,-1.0,0.0,0.0
FMR35522403,0.0,0.0,0.0
FMR35522601,0.0,0.0,0.0
FMR36121203,0.0,0.0,0.0
FMR36121402,0.0,-1.0,0.0
FMR35121503,0.0,0.0,0.0
FMR36420602,0.0,0.0 units,0.0
FMR35520602,-1.0 units,,0.0
FMR36520301,0.0,0.0,-1.0
FMR34520103,0.0,0.0,0.0 units
FMR34421502,0.0 Units,0.0 units,0.0
FMR35421502,0.0,0.0 units,0.0
FMR36421403,0.0,0.0,0.0
FMR34421503,0.0,0.0,0.0
FMR35421103,0.0,0.0,0.0
FMR34122503,0.0,0.0,0.0
FMR35122102,0.0,0.0,0.0 Units
FMR36122602,0.0,-1.0,
FMR34122502,0.0,0.0,0.0
FMR36122601,0.0,0.0,0.0
FMR36122503,0.0,0.0,0.0
FMR35122303,0.0,0.0,0.0
FMR34122603,0.0,0.0,0.0
FMR34422601,0.0,1.0,0.0
FMR36422101,0.0 units,1.0,0.0
FMR36301301,0.0,1.0,0.0
FMR36421202,0.0,1.0,0.0
FMR36720402,0.0,1.0,0.0 units
FMR35303401,0.0,1.0,0.0
FMR35320303,0.0,1.0,0.0
FMR36603503,0.0,1.0,0.0 units
FMR34321201,0.0,1.0 units,0.0
FMR35321302,0.0,1.0,0.0
FMR36221402,-1.0,1.0 units,0.0
FMR35520102,0.0,1.0,0.0
FMR35503602,0.0,1.0 units,0.0
FMR34622301,0.0,1.0,0.0
FMR35202201,-1.0,1.0,0.0
FMR35220402,0.0,1.0,0.0
FMR36103301,,1.0,0.0
FMR36522603,0.0,1.0,
FMR36522401,,1.0,0.0
FMR36521203,0.0,1.0,0.0
FMR34521402,0.0,1.0,0.0
FMR36521602,0.0,1.0,0.0
FMR35521601,0.0,1.0,0.0
FMR35420303,0.0,1.0,0.0
FMR35420101,0.0,1.0,0.0
FMR36420603,0.0 units,1.0,0.0
FMR36402101,1.0,1.0,1.0
FMR35622301,1.0,1.0,1.0
FMR36622503,1.0,1.0,
FMR36221602,1.0,1.0,1.0 Units
FMR34721101,-1.0 units,1.0,1.0
FMR35721603,1.0,1.0,1.0
FMR36721103,1.0,1.0,
FMR34320502,1.0,1.0,1.0
FMR36320503,1.0,1.0,1.0
FMR35320602,,-1.0,1.0
FMR35503501,1.0,1.0,1.0
FMR34503601,1.0,1.0 units,1.0
FMR35503202,1.0,1.0,1.0
FMR36501502,1.0,1.0,1.0
FMR36501201,-1.0,1.0,1.0
FMR35501101,1.0,1.0,1.0
FMR35401403,1.0,1.0,1.0
FMR34401302,1.0,1.0,1.0
FMR36401501,1.0,1.0,1.0
FMR36720503,1.0,1.0,1.0
FMR34902603,1.0,1.0,1.0
FMR35902302,1.0,1.0,1.0
FMR34220502,1.0,1.0,1.0
FMR36220401,1.0,1.0,1.0
FMR35101401,1.0 units,1.0,1.0
FMR34321403,1.0,1.0,
FMR34203501,1.0,1.0,1.0
FMR35102403,1.0,1.0,1.0
FMR36301201,1.0 UNITS,1.0,1.0
FMR36420503,-1.0,1.0,1.0
FMR36121602,1.0,1.0 units,1.0
FMR34121101,1.0,1.0,1.0
FMR36522103,1.0,1.0,1.0
FMR35521501,1.0,1.0,1.0
FMR36702502,1.0,1.0,1.0
FMR35122603,1.0,1.0,1.0
FMR36601503,1.0,1.0,1.0
FMR36403201,1.0,1.0,1.0
FMR35403501,1.0,1.0,1.0
FMR36202603,1.0,1.0 UNITS,-1.0
FMR34202601,1.0,1.0,1.0
FMR34303603,1.0,1.0,1.0
FMR34703403,1.0,1.0,1.0
FMR36703303,1.0,1.0,1.0
FMR36603602,1.0,1.0,1.0
FMR35103503,1.0,0.0,0.0
FMR35103603,1.0,0.0,0.0
FMR36103603,1.0,0.0 units,0.0
FMR35903603,1.0,0.0,0.0
FMR37903502,1.0,0.0,0.0
FMR36903503,1.0,0.0 units,0.0
FMR37702402,1.0,0.0,0.0
FMR36702603,1.0,0.0,0.0
FMR37702501,,0.0,0.0
FMR36601602,1.0,0.0 units,0.0
FMR35601501,1.0 UNITS,0.0,0.0
FMR37601501,1.0,0.0,0.0
FMR35301602,1.0 units,0.0,0.0
FMR37301603,1.0,0.0,0.0
FMR36203401,1.0,0.0,0.0
FMR36621603,1.0,0.0,
FMR35101603,1.0,0.0,0.0
FMR36102503,1.0 units,nan units,0.0 units
FMR35102603,1.0,0.0,
FMR37102302,1.0 units,0.0,0.0
FMR37202501,1.0,0.0,
FMR35321601,1.0,0.0,0.0
FMR37321501,-1.0,0.0,0.0
FMR36321603,1.0,0.0,0.0
FMR36402603,1.0,0.0 units,0.0
FMR35402402,1.0,0.0,0.0
FMR37720502,,0.0,0.0
FMR36720501,1.0,0.0 units,0.0
FMR36221203,1.0,0.0,0.0
FMR37221303,1.0,0.0,0.0
FMR36221303,1.0,-1.0,0.0
FMR35703601,1.0,0.0,0.0
FMR37703602,1.0,0.0,-1.0 units
FMR37401602,1.0,0.0,0.0
FMR35622402,1.0,0.0 UNITS,0.0
FMR36622502,1.0 units,0.0 units,0.0
FMR37320601,1.0,0.0,0.0
FMR36320603,1.0,0.0 units,0.0
FMR35320401,1.0,0.0,0.0
FMR35721502,1.0 units,0.0,-1.0
FMR36122203,1.0,0.0,0.0
FMR35122201,1.0,0.0,0.0
FMR37220301,1.0,0.0,0.0
FMR36220601,1.0,0.0,
FMR35220401,1.0 units,0.0,0.0 units
FMR35520301,1.0,,0.0
FMR36501203,1.0 units,0.0,0.0
FMR35501402,1.0,0.0,0.0
FMR36501601,1.0,0.0,0.0
FMR36503501,1.0,0.0,0.0
FMR37603101,1.0,,0.0
FMR36403401,1.0,0.0,0.0
FMR35403602,1.0,0.0,0.0
FMR37403503,1.0,0.0,0.0
FMR35421403,1.0,0.0,0.0
FMR37521602,1.0,0.0,0.0
FMR35521603,1.0,0.0 units,0.0
FMR36121503,1.0,0.0,0.0
FMR37522502,1.0,0.0,nan units
FMR36522602,1.0,0.0,0.0
FMR35522401,1.0 units,0.0,0.0
FMR37422201,,0.0,0.0
FMR36422601,1.0,0.0,0.0 units
FMR36403301,0.0,0.0,0.0
FMR37321201,0.0,0.0,0.0
FMR36220603,0.0,0.0 units,0.0
FMR36301202,0.0,0.0 units,0.0
FMR35103402,0.0,0.0,
FMR36103403,0.0,0.0,0.0 units
FMR36103302,nan units,0.0,0.0
FMR37420402,0.0,0.0,0.0
FMR35420602,0.0,0.0,0.0
FMR35520201,0.0,0.0,0.0
FMR35520302,0.0,0.0,0.0
FMR35520303,0.0 units,0.0,0.0
FMR37520401,0.0,0.0,0.0
FMR36421302,0.0,0.0,0.0 units
FMR36421101,0.0,0.0,0.0
FMR37421202,0.0 units,0.0,0.0
FMR35122601,0.0,0.0,0.0
FMR35122402,0.0 units,0.0,0.0
FMR37122402,0.0 units,0.0,0.0
FMR36122502,0.0,0.0,0.0
FMR37422203,0.0,1.0,0.0
FMR35422102,0.0,1.0,0.0
FMR36422303,-1.0,1.0,0.0
FMR35422202,0.0,1.0,0.0
FMR37421102,0.0,1.0,-1.0
FMR37122503,NAN UNITS,1.0,0.0
FMR35303301,0.0,1.0,
FMR36320102,0.0,1.0,0.0
FMR35320502,0.0,1.0 units,0.0
FMR35603101,0.0,1.0,0.0
FMR36203502,0.0,1.0,0.0
FMR35203602,0.0,1.0,0.0
FMR37721103,0.0,1.0 units,0.0
FMR36221601,0.0,-1.0,0.0
FMR36503301,0.0,1.0,0.0
FMR36622203,0.0,1.0,0.0
FMR35622501,0.0,-1.0,-1.0
FMR37202101,0.0,1.0,0.0 units
FMR36621302,0.0,1.0 units,0.0
FMR37902102,0.0,1.0,-1.0
FMR36902501,0.0,1.0,0.0
FMR35101203,0.0,1.0 units,0.0
FMR35501302,0.0 units,1.0,0.0
FMR37220401,0.0,1.0,0.0
FMR36401303,0.0,1.0,0.0
FMR36402601,0.0,1.0,0.0
FMR35402303,0.0,1.0,
FMR37403302,0.0,1.0,0.0
FMR37601303,0.0,1.0,0.0
FMR36601301,0.0,1.0,0.0
FMR35522102,0.0,1.0,0.0
FMR35522603,0.0,1.0,0.0
FMR37521601,0.0,1.0 units,0.0
FMR36521502,0.0,1.0,0.0 Units
FMR35521403,0.0,,0.0
FMR35521401,0.0,1.0,0.0
FMR35121501,0.0,1.0,0.0 units
FMR35121303,0.0 units,1.0,0.0
FMR36420403,0.0,1.0,0.0
FMR35420603,0.0,1.0,0.0
FMR37402603,1.0,1.0 UNITS,1.0
FMR37622503,1.0,1.0,1.0
FMR37622501,1.0,1.0,1.0
FMR35221102,1.0,1.0 units,1.0
FMR37221501,,1.0,1.0
FMR36721501,1.0,1.0 units,1.0
FMR37721203,1.0,1.0,1.0
FMR35721601,1.0,1.0,1.0
FMR35503402,1.0,1.0,1.0 units
FMR37503501,1.0,1.0,1.0
FMR36401602,-1.0,1.0 units,1.0
FMR35401501,1.0,1.0,1.0
FMR35720602,1.0,1.0,1.0
FMR36902602,1.0,-1.0,1.0
FMR35902502,1.0,1.0,1.0
FMR37902502,1.0,1.0,1.0
FMR36902401,1.0,1.0,1.0
FMR35621402,1.0 Units,1.0,1.0
FMR35621603,-1.0 units,1.0,1.0
FMR37621302,1.0,1.0,-1.0
FMR36101501,1.0,1.0,1.0 UNITS
FMR37101603,1.0,1.0 units,1.0
FMR35203301,,-1.0,1.0
FMR36203302,1.0,1.0,1.0
FMR36301102,1.0,1.0,1.0
FMR35201503,1.0 units,-1.0,1.0
FMR37201602,1.0,1.0,1.0
FMR35201401,1.0,1.0,1.0
FMR36420203,1.0,1.0,1.0
FMR35420601,1.0,1.0,1.0
FMR37420303,1.0,1.0,1.0
FMR36121403,1.0,1.0 units,1.0
FMR36422602,1.0,1.0,1.0
FMR35421501,1.0,1.0,1.0
FMR35702301,1.0,1.0,-1.0
FMR37103203,1.0,1.0,1.0
FMR35403503,1.0 units,1.0,1.0
FMR35202402,1.0,1.0,1.0
FMR35202503,1.0,1.0 units,1.0
FMR36202601,,-1.0,1.0
FMR37303603,1.0,1.0 units,1.0 units
FMR35303603,1.0,1.0,1.0
FMR35703402,,1.0,1.0
FMR36603401,1.0,1.0,1.0
FMR35603202,,1.0,1.0
FMR38103502,1.0,0.0 units,0.0
FMR37103602,1.0,0.0,0.0 units
FMR36103602,1.0,0.0,0.0
FMR36903203,1.0,0.0,
FMR36903302,1.0,0.0,0.0
FMR37903603,-1.0,0.0,0.0
FMR36702303,1.0,0.0,
FMR37702503,1.0,0.0,0.0
FMR37702201,1.0,0.0 Units,0.0
FMR38702302,1.0,0.0,0.0
FMR37601601,1.0 units,,0.0
FMR36601502,1.0,0.0,0.0
FMR38301402,1.0,-1.0,0.0
FMR37301602,1.0,0.0,
FMR36301401,1.0,0.0,0.0
FMR37203203,1.0,0.0,0.0
FMR37621603,1.0,0.0,0.0 units
FMR38101403,1.0,0.0,0.0
FMR36101602,1.0,0.0,0.0
FMR37101401,1.0,0.0,0.0
FMR36902303,1.0,0.0,0.0
FMR38902201,1.0,0.0,0.0
FMR36201603,,0.0,0.0 units
FMR37201503,1.0 units,0.0,0.0
