order_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty
FMR34501203,25891103,327,"Friday, March 4, 2022","Friday, March 4, 2022",327
FMR34402202,25891103,340,"Friday, March 4, 2022","Friday, March 4, 2022",272
FMR32221603,25891103,430,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",430
FMR33522103,25891103,384,"Thursday, March 3, 2022","Friday, March 4, 2022",384
FMR33503502,25891103,325,"Thursday, March 3, 2022","Thursday, March 3, 2022",309
FMR33122301,25891103,403,"Thursday, March 3, 2022","Saturday, March 5, 2022",403
FMR34122103,25891103,458,"Friday, March 4, 2022","Thursday, March 3, 2022",458
FMR32401103,25891103,476,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",476
FMR34301103,25891103,351,"Friday, March 4, 2022","Sunday, March 6, 2022",351
FMR34902103,25891103,456,"Friday, March 4, 2022","Sunday, March 6, 2022",410
FMR32202603,25891103,389,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",370
FMR34721103,25891103,468,"Friday, March 4, 2022","Sunday, March 6, 2022",468
FMR33420203,25891103,357,"Thursday, March 3, 2022","Sunday, March 6, 2022",357
FMR34420402,25891103,325,"Friday, March 4, 2022","Saturday, March 5, 2022",325
FMR32321103,25891103,478,"Wednesday, March 2, 2022","Thursday, March 3, 2022",478
FMR33321602,25891103,465,"Thursday, March 3, 2022","Thursday, March 3, 2022",419
FMR32422401,25891103,317,"Wednesday, March 2, 2022","Friday, March 4, 2022",317
FMR34522601,25891601,181,"Friday, March 4, 2022","Monday, March 7, 2022",163
FMR32202603,25891601,125,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",119
FMR32702601,25891601,93,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",74
FMR33520601,25891601,182,"Thursday, March 3, 2022","Saturday, March 5, 2022",146
FMR32902601,25891601,93,"Wednesday, March 2, 2022","Thursday, March 3, 2022",88
FMR33103602,25891601,188,"Thursday, March 3, 2022","Thursday, March 3, 2022",150
FMR33201602,25891601,180,"Thursday, March 3, 2022","Thursday, March 3, 2022",171
FMR34622602,25891601,96,"Friday, March 4, 2022","Friday, March 4, 2022",91
FMR32101601,25891601,124,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",124
FMR34220601,25891601,78,"Friday, March 4, 2022","Friday, March 4, 2022",78
FMR34122601,25891601,68,"Friday, March 4, 2022","Monday, March 7, 2022",61
FMR33321601,25891601,157,"Thursday, March 3, 2022","Saturday, March 5, 2022",157
FMR33903601,25891601,93,"Thursday, March 3, 2022","Thursday, March 3, 2022",84
FMR34621601,25891601,170,"Friday, March 4, 2022","Monday, March 7, 2022",170
FMR32421601,25891601,108,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",103
FMR34421601,25891601,75,"Friday, March 4, 2022","Saturday, March 5, 2022",75
FMR33102601,25891601,180,"Thursday, March 3, 2022","Thursday, March 3, 2022",180
FMR33401603,25891203,429,"Thursday, March 3, 2022","Thursday, March 3, 2022",429
FMR32501601,25891601,139,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",139
FMR32603203,25891203,460,"Wednesday, March 2, 2022","Thursday, March 3, 2022",460
FMR34420402,25891402,353,"Friday, March 4, 2022","Saturday, March 5, 2022",353
FMR34401402,25891402,468,"Friday, March 4, 2022","Sunday, March 6, 2022",468
FMR34720402,25891402,472,"Friday, March 4, 2022","Saturday, March 5, 2022",448
FMR34721503,25891402,436,"Friday, March 4, 2022","Friday, March 4, 2022",414
FMR34601402,25891402,-208,"Friday, March 4, 2022","Friday, March 4, 2022 #@$",208
FMR32520603,25891402,287,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",258
FMR33503502,25891402,450,"Thursday, March 3, 2022","Thursday, March 3, 2022",450
FMR32203402,25891402,488,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",488
FMR32902402,25891402,405,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",405
FMR33321602,25891402,283,"Thursday, March 3, 2022","Thursday, March 3, 2022",283
FMR33122402,25891402,460,"Thursday, March 3, 2022","Sunday, March 6, 2022",437
FMR34122402,25891402,256,"Friday, March 4, 2022","Friday, March 4, 2022 #@$",205
FMR34621601,25891402,220,"Friday, March 4, 2022","Monday, March 7, 2022",220
FMR32221402,25891402,384,"Wednesday, March 2, 2022","Thursday, March 3, 2022",384
FMR33221402,25891402,342,"Thursday, March 3, 2022","Friday, March 4, 2022 #@$",342
FMR32622402,25891402,309,"Wednesday, March 2, 2022","Thursday, March 3, 2022",247
FMR34622602,25891402,462,"Friday, March 4, 2022","Friday, March 4, 2022 #@$",439
FMR32202402,25891402,442,"Wednesday, March 2, 2022","Thursday, March 3, 2022",442
FMR34301602,25891201,308,"Friday, March 4, 2022","Friday, March 4, 2022 #@$",308
FMR33521201,25891201,487,"Thursday, March 3, 2022","Friday, March 4, 2022",463
FMR33401603,25891201,461,"Thursday, March 3, 2022","Thursday, March 3, 2022",461
FMR33320501,25891201,354,"Thursday, March 3, 2022","Thursday, March 3, 2022",354
FMR32321201,25891201,374,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",374
FMR34102602,25891201,440,"Friday, March 4, 2022","Friday, March 4, 2022",440
FMR32103503,25891201,112,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",101
FMR32501201,25891201,273,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",273
FMR34220601,25891201,378,"Friday, March 4, 2022","Friday, March 4, 2022",378
FMR34702502,25891201,156,"Friday, March 4, 2022","Friday, March 4, 2022",156
FMR34201201,25891201,291,"Friday, March 4, 2022","Saturday, March 5, 2022",233
FMR32622502,25891201,274,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",247
FMR34101201,25891201,489,"Friday, March 4, 2022","Saturday, March 5, 2022",489
FMR34520602,25891501,204,"Friday, March 4, 2022","Sunday, March 6, 2022",184
FMR33203603,25891501,104,"Thursday, March 3, 2022","Thursday, March 3, 2022",104
FMR34420501,25891501,210,"Friday, March 4, 2022","Sunday, March 6, 2022",210
FMR33403501,25891501,241,"Thursday, March 3, 2022","Thursday, March 3, 2022",229
FMR34121501,25891501,159,"Friday, March 4, 2022","Thursday, March 3, 2022",127
FMR34903603,25891501,136,"Friday, March 4, 2022","Friday, March 4, 2022",136
FMR33320501,25891501,249,"Thursday, March 3, 2022","Thursday, March 3, 2022",249
FMR32221603,25891501,140,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",140
FMR32101601,25891501,241,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",241
FMR33303501,25891501,105,"Thursday, March 3, 2022","Thursday, March 3, 2022",105
FMR32102602,25891501,114,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",91
FMR32402602,25891501,223,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",223
FMR33720501,25891501,182,"Thursday, March 3, 2022","Wednesday, March 2, 2022",182
FMR32301603,25891501,238,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",238
FMR34301602,25891602,92,"Friday, March 4, 2022","Friday, March 4, 2022",83
FMR34303602,25891602,98,"Friday, March 4, 2022","Friday, March 4, 2022",98
FMR34702602,25891602,155,"Friday, March 4, 2022","Thursday, March 3, 2022",155
FMR32102602,25891602,63,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",63
FMR34102602,25891602,154,"Friday, March 4, 2022","Friday, March 4, 2022",154
FMR34703602,25891602,163,"Friday, March 4, 2022","Friday, March 4, 2022",163
FMR32420602,25891602,76,"Wednesday, March 2, 2022","Friday, March 4, 2022",76
FMR33321602,25891602,78,"Thursday, March 3, 2022","Thursday, March 3, 2022",74
FMR34321602,25891602,60,"Friday, March 4, 2022","Friday, March 4, 2022",60
FMR32402602,25891602,172,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",163
FMR33203603,25891602,184,"Thursday, March 3, 2022","Thursday, March 3, 2022",184
FMR32103602,25891602,86,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",77
FMR33103602,25891602,172,"Thursday, March 3, 2022","Thursday, March 3, 2022",163
FMR33201602,25891602,52,"Thursday, March 3, 2022","Thursday, March 3, 2022",52
FMR34320602,25891602,190,"Friday, March 4, 2022","Friday, March 4, 2022",190
FMR34520602,25891602,164,"Friday, March 4, 2022","Sunday, March 6, 2022",131
FMR34622602,25891602,54,"Friday, March 4, 2022","Friday, March 4, 2022",54
FMR32220602,25891602,77,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",77
FMR33220603,25891602,65,"Thursday, March 3, 2022","Thursday, March 3, 2022",65
FMR33721603,25891602,148,"Thursday, March 3, 2022","Thursday, March 3, 2022",148
FMR33501401,25891101,484,"Thursday, March 3, 2022","Thursday, March 3, 2022",484
FMR32101601,25891101,474,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",474
FMR33101403,25891101,349,"Thursday, March 3, 2022","Thursday, March 3, 2022",349
FMR32703401,25891101,492,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",492
FMR33321602,25891101,345,"Thursday, March 3, 2022","Thursday, March 3, 2022",345
FMR32203101,25891101,409,"Wednesday, March 2, 2022","Friday, March 4, 2022",389
FMR33203603,25891101,368,"Thursday, March 3, 2022","Thursday, March 3, 2022",294
FMR32903403,25891101,343,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",326
FMR34122303,25891101,410,"Friday, March 4, 2022","Saturday, March 5, 2022",390
FMR33202502,25891101,391,"Thursday, March 3, 2022","Thursday, March 3, 2022",391
FMR34202301,25891101,431,"Friday, March 4, 2022","Friday, March 4, 2022",431
FMR33403501,25891101,379,"Thursday, March 3, 2022","Thursday, March 3, 2022",379
FMR34401102,25891101,454,"Friday, March 4, 2022","Thursday, March 3, 2022",454
FMR33503502,25891101,362,"Thursday, March 3, 2022","Thursday, March 3, 2022",362
FMR33420101,25891101,306,"Thursday, March 3, 2022","Friday, March 4, 2022",306
FMR34420501,25891101,494,"Friday, March 4, 2022","Sunday, March 6, 2022",494
FMR34622101,25891101,423,"Friday, March 4, 2022","Thursday, March 3, 2022",402
FMR34520301,25891101,428,"Friday, March 4, 2022","Friday, March 4, 2022",385
FMR34422101,25891101,444,"Friday, March 4, 2022","Saturday, March 5, 2022",444
FMR34603401,25891401,313,"Friday, March 4, 2022","Saturday, March 5, 2022",313
FMR33501401,25891401,288,"Thursday, March 3, 2022","Thursday, March 3, 2022",259
FMR32503401,25891401,449,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",449
FMR33202502,25891401,215,"Thursday, March 3, 2022","Thursday, March 3, 2022",215
FMR34702502,25891401,355,"Friday, March 4, 2022","Friday, March 4, 2022",337
FMR32703401,25891401,234,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",234
FMR32422401,25891401,342,"Wednesday, March 2, 2022","Friday, March 4, 2022",342
FMR32122401,25891401,240,"Wednesday, March 2, 2022","Friday, March 4, 2022",228
FMR33201602,25891401,480,"Thursday, March 3, 2022","Thursday, March 3, 2022",456
FMR33103401,25891401,306,"Thursday, March 3, 2022","Wednesday, March 2, 2022",291
FMR34103403,25891401,399,"Friday, March 4, 2022","Friday, March 4, 2022",359
FMR32403401,25891401,473,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",473
FMR32520603,25891603,67,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",64
FMR33220603,25891603,51,"Thursday, March 3, 2022","Thursday, March 3, 2022",46
FMR33603603,25891603,183,"Thursday, March 3, 2022","Saturday, March 5, 2022",183
FMR32221603,25891603,100,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",80
FMR33401603,25891603,127,"Thursday, March 3, 2022","Thursday, March 3, 2022",127
FMR33420603,25891603,129,"Thursday, March 3, 2022","Thursday, March 3, 2022",129
FMR32121603,25891603,200,"Wednesday, March 2, 2022","Friday, March 4, 2022",180
FMR32421603,25891603,172,"Wednesday, March 2, 2022","Saturday, March 5, 2022",155
FMR32903603,25891603,128,"Wednesday, March 2, 2022","Thursday, March 3, 2022",115
FMR34903603,25891603,148,"Friday, March 4, 2022","Friday, March 4, 2022",133
FMR33703603,25891603,165,"Thursday, March 3, 2022","Thursday, March 3, 2022",165
FMR32303603,25891603,169,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",169
FMR32301603,25891603,134,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",121
FMR33203603,25891603,122,"Thursday, March 3, 2022","Thursday, March 3, 2022",122
FMR32202603,25891603,186,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",186
FMR32721603,25891603,140,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",126
FMR33721603,25891603,195,"Thursday, March 3, 2022","Thursday, March 3, 2022",195
FMR33621603,25891603,69,"Thursday, March 3, 2022","Thursday, March 3, 2022",69
FMR32102202,25891202,106,"Wednesday, March 2, 2022","Thursday, March 3, 2022",106
FMR33102601,25891202,419,"Thursday, March 3, 2022","Thursday, March 3, 2022",419
FMR33402303,25891202,167,"Thursday, March 3, 2022","Thursday, March 3, 2022",167
FMR34402202,25891202,457,"Friday, March 4, 2022","Friday, March 4, 2022",457
FMR33622502,25891202,294,"Thursday, March 3, 2022","Thursday, March 3, 2022",294
FMR34902202,25891202,311,"Friday, March 4, 2022","Friday, March 4, 2022",311
FMR32320202,25891202,211,"Wednesday, March 2, 2022","Thursday, March 3, 2022",211
FMR33320202,25891202,209,"Thursday, March 3, 2022","Saturday, March 5, 2022",188
FMR32403401,25891202,472,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",472
FMR34703602,25891202,185,"Friday, March 4, 2022","Friday, March 4, 2022",167
FMR34303602,25891202,160,"Friday, March 4, 2022","Friday, March 4, 2022",144
FMR32721603,25891202,178,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",169
FMR33421203,25891202,332,"Thursday, March 3, 2022","Sunday, March 6, 2022",332
FMR34421601,25891202,132,"Friday, March 4, 2022","Saturday, March 5, 2022",125
FMR33101202,25891202,150,"Thursday, March 3, 2022","Friday, March 4, 2022",150
FMR34401503,25891202,173,"Friday, March 4, 2022","Friday, March 4, 2022",173
FMR33503502,25891202,214,"Thursday, March 3, 2022","Thursday, March 3, 2022",214
FMR33601202,25891202,411,"Thursday, March 3, 2022","Friday, March 4, 2022",390
FMR34201202,25891202,175,"Friday, March 4, 2022","Friday, March 4, 2022",175
FMR32521202,25891202,479,"Wednesday, March 2, 2022","Saturday, March 5, 2022",479
FMR33521202,25891202,347,"Thursday, March 3, 2022","Thursday, March 3, 2022",347
FMR34520602,25891202,200,"Friday, March 4, 2022","Sunday, March 6, 2022",200
FMR33720202,25891202,270,"Thursday, March 3, 2022","Thursday, March 3, 2022",270
FMR32202603,25891202,342,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",274
FMR33202502,25891202,130,"Thursday, March 3, 2022","Thursday, March 3, 2022",130
FMR33522202,25891202,280,"Thursday, March 3, 2022","Thursday, March 3, 2022",252
FMR32203402,25891303,64,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",64
FMR33103602,25891303,40,"Thursday, March 3, 2022","Thursday, March 3, 2022",32
FMR32721603,25891303,69,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",69
FMR32522303,25891303,63,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",50
FMR32601303,25891303,95,"Wednesday, March 2, 2022","Thursday, March 3, 2022",95
FMR33601303,25891303,69,"Thursday, March 3, 2022","Thursday, March 3, 2022",66
FMR33703303,25891303,76,"Thursday, March 3, 2022","Wednesday, March 2, 2022",76
FMR34720303,25891303,27,"Friday, March 4, 2022","Sunday, March 6, 2022",27
FMR34420303,25891303,63,"Friday, March 4, 2022","Friday, March 4, 2022",57
FMR32622502,25891303,51,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",51
FMR34622602,25891303,84,"Friday, March 4, 2022","Friday, March 4, 2022",84
FMR34122303,25891303,37,"Friday, March 4, 2022","Saturday, March 5, 2022",33
FMR32501601,25891303,51,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",41
FMR33501401,25891303,57,"Thursday, March 3, 2022","Thursday, March 3, 2022",57
FMR32702601,25891303,29,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",29
FMR32221303,25891303,42,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",42
FMR32202402,25891303,40,"Wednesday, March 2, 2022","Thursday, March 3, 2022",40
FMR33403501,25891303,89,"Thursday, March 3, 2022","Thursday, March 3, 2022",89
FMR34121303,25891303,49,"Friday, March 4, 2022","Monday, March 7, 2022",49
FMR32101601,25891303,58,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",58
FMR32402303,25891303,68,"Wednesday, March 2, 2022","Thursday, March 3, 2022",54
